GRID_ID,time,nbart_blue_mean,nbart_green_mean,nbart_red_mean,nbart_nir_1_mean,nbart_swir_2_mean,nbart_swir_3_mean
DHS-3617,2025-01-31,262.3999938964844,395.7442932128906,251.5411376953125,2536.60693359375,854.39306640625,377.4114074707031
DHS-3617,2025-02-28,841.9879760742188,1014.0335693359376,865.9841918945312,3202.708740234375,1425.81396484375,929.6113891601562
DHS-3617,2025-03-31,7813.34765625,7921.90966796875,8101.49609375,8456.91015625,2732.00439453125,2064.330322265625
DHS-3617,2025-04-30,191.400634765625,343.701904296875,220.2930450439453,2409.240478515625,787.9474487304688,338.6670837402344
DHS-3617,2025-05-31,232.93101501464844,378.4721374511719,251.20379638671875,2464.691162109375,792.3031616210938,343.81201171875
DHS-3617,2025-06-30,293.7563171386719,423.0860900878906,286.5297546386719,2561.4638671875,832.2196044921875,377.8652038574219
DHS-3617,2025-07-31,272.8500061035156,410.7550659179688,282.5278625488281,2506.099365234375,823.7240600585938,358.40252685546875
DHS-3617,2025-08-31,257.2145690917969,397.0354309082031,280.32342529296875,2509.974609375,876.7417602539062,394.47406005859375
DHS-3617,2025-09-30,307.4791259765625,436.2107543945313,303.5177307128906,2504.92919921875,938.5569458007812,424.86962890625
DHS-3617,2025-10-31,4946.39599609375,5019.8154296875,5116.544921875,5709.60400390625,3897.40625,3052.347412109375
DHS-3617,2025-11-30,7055.4033203125,7086.25634765625,7128.7822265625,8166.10498046875,2178.3486328125,2513.7646484375
DHS-3617,2025-12-31,321.2240600585937,453.4322814941406,316.82720947265625,2443.934814453125,967.6209106445312,444.0746765136719
DHS-3618,2025-01-31,275.1395874023437,407.3753051757813,281.9032287597656,2465.219482421875,940.748779296875,435.9118957519531
DHS-3618,2025-02-28,1397.547119140625,1369.77734375,1095.2239990234375,3293.241943359375,1461.3516845703125,787.64453125
DHS-3618,2025-03-31,7193.0478515625,7071.6552734375,7040.9013671875,7278.8193359375,2073.727783203125,1774.8560791015625
DHS-3618,2025-04-30,193.73077392578125,330.9491271972656,228.583740234375,2255.33740234375,799.1656494140625,354.47021484375
