time,spatial_ref_mean,blue_mean,red_mean,nir08_mean,swir16_mean,swir22_mean,green_mean
2015-07-31,0,2505.0978835978835,2570.8439153439153,4688.21164021164,3190.867724867725,2739.8518518518517,2658.2248677248676
2015-07-31,0,2502.721729490022,2556.319290465632,4374.221729490022,3058.5665188470066,2691.3747228381376,2635.2161862527714
2015-08-31,0,2530.431216931217,2597.44708994709,4675.787037037037,3287.9669312169312,2810.791005291005,2685.309523809524
2015-08-31,0,2522.9434589800444,2578.8458980044347,4421.089246119734,3151.8126385809314,2753.390243902439,2658.7366962305987
2015-09-30,0,2551.128306878307,2641.6666666666665,4736.059523809524,3425.8161375661375,2881.4656084656085,2724.26455026455
2015-09-30,0,2542.518292682927,2619.0753880266075,4541.475609756098,3291.981707317073,2820.7050997782703,2698.4340354767182
2015-10-31,0,2564.304232804233,2650.095238095238,4841.246031746032,3480.9074074074074,2924.0185185185187,2741.3888888888887
2015-10-31,0,2555.7627494456765,2628.4423503325943,4652.9844789356985,3344.890243902439,2858.8048780487807,2713.113082039911
2015-11-30,0,2582.0886243386244,2673.0886243386244,5147.431216931217,3628.3015873015875,2970.440476190476,2785.7513227513227
2015-11-30,0,2575.4722838137473,2653.7322616407982,4998.476164079822,3506.5548780487807,2915.899667405765,2761.6424611973393
2015-12-31,0,7311.104497354498,7555.638888888889,9108.362433862434,7150.2526455026455,5859.841269841269,7504.219576719577
2015-12-31,0,5250.362527716186,5406.079822616408,7404.110310421286,5636.029933481153,4737.44955654102,5456.896895787139
2016-01-31,0,2530.0992063492063,2604.3809523809523,5380.91798941799,3417.8743386243386,2830.3611111111113,2746.8756613756614
2016-01-31,0,2533.2245011086475,2605.39689578714,5127.5554323725055,3356.9562084257204,2818.980598669623,2728.5044345898004
2016-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0,2579.3741685144123,2837.7156319290466,4255.435698447894,3324.2067627494457,2970.1441241685143,2875.0005543237253
2016-03-31,0,2589.59126984127,2891.69708994709,4439.800264550265,3428.7896825396824,3040.90873015873,2924.5396825396824
2016-04-30,0,2522.6164079822615,2578.0753880266075,4606.024390243902,3192.59977827051,2760.9046563192906,2677.4057649667407
2016-04-30,0,2526.005291005291,2590.05291005291,4978.751322751323,3321.8333333333335,2801.330687830688,2701.3518518518517
2016-05-31,0,2511.339246119734,2572.6252771618624,4412.6319290465635,3110.9124168514413,2726.6014412416853,2646.766075388027
2016-05-31,0,2512.112433862434,2585.8928571428573,4722.6838624338625,3231.675925925926,2772.9669312169312,2666.005291005291
2016-06-30,0,2505.322751322751,2577.6243386243386,4818.170634920635,3189.6031746031745,2748.1150793650795,2674.309523809524
2016-06-30,0,2502.6740576496672,2564.84977827051,4437.381374722838,3064.8985587583147,2703.560421286031,2648.070953436807
2016-07-31,0,2515.9801587301586,2580.9391534391534,4791.73544973545,3227.972222222222,2770.2843915343915,2675.1031746031745
2016-07-31,0,2508.182926829268,2567.350332594235,4457.842572062084,3109.009423503326,2725.909645232816,2650.0958980044347
2016-08-31,0,2527.0873015873017,2612.3756613756614,4844.8994708994705,3308.5079365079364,2816.563492063492,2710.9497354497353
2016-08-31,0,2543.758314855876,2637.39689578714,4647.054323725056,3288.310421286031,2856.20399113082,2725.39689578714
2016-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0,2550.9434589800444,2604.859201773836,4794.668514412417,3309.518847006652,2828.669623059867,2702.7195121951218
2016-10-31,0,2551.595238095238,2618.9206349206347,5002.026455026455,3416.568783068783,2872.1560846560847,2723.8333333333335
2016-11-30,0,2587.2949735449733,2712.55291005291,5042.488095238095,3675.580687830688,3030.6468253968255,2794.830687830688
2016-11-30,0,2582.9235033259424,2689.75,4912.872505543237,3560.0914634146343,2973.6662971175165,2773.721729490022
2016-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,0,2538.232804232804,2597.526455026455,5621.380952380952,3452.4523809523807,2860.822751322751,2744.8253968253966
2017-01-31,0,2533.6984478935697,2592.5576496674057,5409.304878048781,3349.5931263858092,2826.9645232815965,2725.7849223946787
2017-02-28,0,2509.5016629711754,2571.5742793791574,4662.39800443459,3086.7333702882484,2709.620288248337,2674.136917960089
2017-02-28,0,2545.9378306878307,2623.335978835979,5741.013227513227,3451.685185185185,2859.2804232804233,2764.910052910053
2017-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,0,2512.0158730158732,2560.100529100529,5337.693121693122,3203.2751322751324,2736.1084656084654,2676.328042328042
2017-04-30,0,2508.048780487805,2548.2084257206207,5004.567627494457,3084.9667405764967,2696.180709534368,2653.1485587583147
2017-05-31,0,2505.5833333333335,2548.728835978836,5110.64417989418,3154.1415343915346,2719.154761904762,2657.9920634920636
2017-05-31,0,2500.6347006651886,2537.0726164079824,4772.6319290465635,3029.207871396896,2674.4135254988914,2633.380266075388
2017-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0,2506.756097560976,2547.052106430155,4590.220620842572,3004.6840354767182,2672.3237250554325,2634.7272727272725
2017-07-31,0,2512.2433862433863,2560.2698412698414,4922.275132275132,3131.8201058201057,2721.3518518518517,2661.9603174603176
