time,unit_key,value
2024-07-31,283_BIDWILLII_4_1,0.1084351083216935
2024-08-31,283_BIDWILLII_4_1,0.10647346967722547
2024-09-30,283_BIDWILLII_4_1,0.10074913507596521
2024-10-31,283_BIDWILLII_4_1,0.10343308464627808
2024-11-30,283_BIDWILLII_4_1,0.0
2024-12-31,283_BIDWILLII_4_1,0.0
2025-01-31,283_BIDWILLII_4_1,0.11208468975858465
2025-02-28,283_BIDWILLII_4_1,0.0
2025-03-31,283_BIDWILLII_4_1,0.06251111747372447
2025-04-30,283_BIDWILLII_4_1,0.09848807800369541
2025-05-31,283_BIDWILLII_4_1,0.10698296340848656
2016-06-30,283_BIDWILLII_4_3,0.1403618494214654
2016-07-31,283_BIDWILLII_4_3,0.14061140116805831
2016-08-31,283_BIDWILLII_4_3,0.14232299082195385
2016-09-30,283_BIDWILLII_4_3,0.0
2016-10-31,283_BIDWILLII_4_3,0.14678884603378026
2016-11-30,283_BIDWILLII_4_3,0.1437108633685467
2016-12-31,283_BIDWILLII_4_3,0.0
2017-01-31,283_BIDWILLII_4_3,0.1655951199281113
2017-02-28,283_BIDWILLII_4_3,0.16020156811535663
2017-03-31,283_BIDWILLII_4_3,0.0
2017-04-30,283_BIDWILLII_4_3,0.15683581338673153
2017-05-31,283_BIDWILLII_4_3,0.14890829114251683
2017-06-30,283_BIDWILLII_4_3,0.0
2017-07-31,283_BIDWILLII_4_3,0.14154857206783691
2017-08-31,283_BIDWILLII_4_3,0.1370583169041536
2017-09-30,283_BIDWILLII_4_3,0.13548402413542218
2017-10-31,283_BIDWILLII_4_3,0.0
2017-11-30,283_BIDWILLII_4_3,0.1665545734508223
2017-12-31,283_BIDWILLII_4_3,0.15362389439437088
2018-01-31,283_BIDWILLII_4_3,0.0
2018-02-28,283_BIDWILLII_4_3,0.1528758067761795
2018-03-31,283_BIDWILLII_4_3,0.15315441963951662
2018-04-30,283_BIDWILLII_4_3,0.14922566049937666
2018-05-31,283_BIDWILLII_4_3,0.14679158942819567
2018-06-30,283_BIDWILLII_4_3,0.142962065820138
2018-07-31,283_BIDWILLII_4_3,0.14067001720231165
2018-08-31,283_BIDWILLII_4_3,0.13490668381121856
2018-09-30,283_BIDWILLII_4_3,0.0
2018-10-31,283_BIDWILLII_4_3,0.14166328599394643
2018-11-30,283_BIDWILLII_4_3,0.08506961086558892
2018-12-31,283_BIDWILLII_4_3,0.0
2019-01-31,283_BIDWILLII_4_3,0.0
2019-02-28,283_BIDWILLII_4_3,0.11292269065185406
2019-03-31,283_BIDWILLII_4_3,0.13508134304780334
2019-04-30,283_BIDWILLII_4_3,0.0
2019-05-31,283_BIDWILLII_4_3,0.1379126625411075
2019-06-30,283_BIDWILLII_4_3,0.08041613529144648
2019-07-31,283_BIDWILLII_4_3,0.1348587826345476
2019-08-31,283_BIDWILLII_4_3,0.1301996407369259
2019-09-30,283_BIDWILLII_4_3,0.1254909914690187
2019-10-31,283_BIDWILLII_4_3,0.08626539788972461
2019-11-30,283_BIDWILLII_4_3,0.12844992000675484
2019-12-31,283_BIDWILLII_4_3,0.13668848001168524
2020-01-31,283_BIDWILLII_4_3,0.0
2020-02-29,283_BIDWILLII_4_3,0.14572749847552066
2020-03-31,283_BIDWILLII_4_3,0.1527152186618563
2020-04-30,283_BIDWILLII_4_3,0.14684958184102206
2020-05-31,283_BIDWILLII_4_3,0.14044098316570883
2020-06-30,283_BIDWILLII_4_3,0.13870811152331924
2020-07-31,283_BIDWILLII_4_3,0.0
2020-08-31,283_BIDWILLII_4_3,0.13451752726227495
2020-09-30,283_BIDWILLII_4_3,0.0520555525168444
2020-10-31,283_BIDWILLII_4_3,0.0
2020-11-30,283_BIDWILLII_4_3,0.14286004765976412
2020-12-31,283_BIDWILLII_4_3,0.1398437844190069
2021-01-31,283_BIDWILLII_4_3,0.0
2021-02-28,283_BIDWILLII_4_3,0.14694886760321071
2021-03-31,283_BIDWILLII_4_3,0.0
2021-04-30,283_BIDWILLII_4_3,0.14402917206127389
2021-05-31,283_BIDWILLII_4_3,0.15421800022170606
2021-06-30,283_BIDWILLII_4_3,0.1473544569376639
2021-07-31,283_BIDWILLII_4_3,0.14778189243903242
2021-08-31,283_BIDWILLII_4_3,0.14733717127949886
2021-09-30,283_BIDWILLII_4_3,0.03005011407107868
2021-10-31,283_BIDWILLII_4_3,0.14262408426000547
2021-11-30,283_BIDWILLII_4_3,0.15950897618932874
2021-12-31,283_BIDWILLII_4_3,0.16551699625510355
2022-01-31,283_BIDWILLII_4_3,0.0
2022-02-28,283_BIDWILLII_4_3,0.17899634304155634
2022-03-31,283_BIDWILLII_4_3,0.0
2022-04-30,283_BIDWILLII_4_3,0.15359337999614264
2022-05-31,283_BIDWILLII_4_3,0.0
2022-06-30,283_BIDWILLII_4_3,0.0
2022-07-31,283_BIDWILLII_4_3,0.0
2022-08-31,283_BIDWILLII_4_3,0.0
2022-09-30,283_BIDWILLII_4_3,0.1507751023374249
2022-10-31,283_BIDWILLII_4_3,-0.002011254901727154
2022-11-30,283_BIDWILLII_4_3,0.16381155826452773
2022-12-31,283_BIDWILLII_4_3,0.12933843755262878
2023-01-31,283_BIDWILLII_4_3,0.0
2023-02-28,283_BIDWILLII_4_3,0.1477200042014847
2023-03-31,283_BIDWILLII_4_3,0.1559255799693989
2023-04-30,283_BIDWILLII_4_3,0.14658578308052148
2023-05-31,283_BIDWILLII_4_3,0.14486671279987726
2023-06-30,283_BIDWILLII_4_3,0.14614748423159826
2023-07-31,283_BIDWILLII_4_3,0.0324415808977262
2023-08-31,283_BIDWILLII_4_3,0.14023575365657573
2023-09-30,283_BIDWILLII_4_3,0.10160626174122965
2023-10-31,283_BIDWILLII_4_3,0.1370379280662322
2023-11-30,283_BIDWILLII_4_3,0.1386768840364516
2023-12-31,283_BIDWILLII_4_3,0.0
2024-01-31,283_BIDWILLII_4_3,0.0
2024-02-29,283_BIDWILLII_4_3,0.15922288435753998
2024-03-31,283_BIDWILLII_4_3,0.0
2024-04-30,283_BIDWILLII_4_3,0.0
2024-05-31,283_BIDWILLII_4_3,0.1513401505211084
2024-06-30,283_BIDWILLII_4_3,0.1526665606714826
2024-07-31,283_BIDWILLII_4_3,0.15093812308257093
2024-08-31,283_BIDWILLII_4_3,0.1496949039540308
2024-09-30,283_BIDWILLII_4_3,0.14683144776425394
2024-10-31,283_BIDWILLII_4_3,0.14867511955091384
2024-11-30,283_BIDWILLII_4_3,0.0
2024-12-31,283_BIDWILLII_4_3,0.0
2025-01-31,283_BIDWILLII_4_3,0.07955420011166707
2025-02-28,283_BIDWILLII_4_3,0.0
2025-03-31,283_BIDWILLII_4_3,0.06706926560936821
2025-04-30,283_BIDWILLII_4_3,0.1245296352687629
2025-05-31,283_BIDWILLII_4_3,0.14579974252812597
2016-06-30,283_BIDWILLII_4_1,0.08918224922499825
