time,spatial_ref_mean,blue_mean,red_mean,nir08_mean,swir16_mean,swir22_mean,green_mean,unit_key
2015-07-31,0,2505.0978835978835,2570.8439153439153,4688.21164021164,3190.867724867725,2739.8518518518517,2658.2248677248676,283_BIDWILLII_4_1
2015-08-31,0,2530.431216931217,2597.44708994709,4675.787037037037,3287.9669312169312,2810.791005291005,2685.309523809524,283_BIDWILLII_4_1
2015-09-30,0,2551.128306878307,2641.6666666666665,4736.059523809524,3425.8161375661375,2881.4656084656085,2724.26455026455,283_BIDWILLII_4_1
2015-10-31,0,2564.304232804233,2650.095238095238,4841.246031746032,3480.9074074074074,2924.0185185185187,2741.3888888888887,283_BIDWILLII_4_1
2015-11-30,0,2582.0886243386244,2673.0886243386244,5147.431216931217,3628.3015873015875,2970.440476190476,2785.7513227513227,283_BIDWILLII_4_1
2015-12-31,0,7311.104497354498,7555.638888888889,9108.362433862434,7150.2526455026455,5859.841269841269,7504.219576719577,283_BIDWILLII_4_1
2016-01-31,0,2530.0992063492063,2604.3809523809523,5380.91798941799,3417.8743386243386,2830.3611111111113,2746.8756613756614,283_BIDWILLII_4_1
2016-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2016-03-31,0,2589.59126984127,2891.69708994709,4439.800264550265,3428.7896825396824,3040.90873015873,2924.5396825396824,283_BIDWILLII_4_1
2016-04-30,0,2526.005291005291,2590.05291005291,4978.751322751323,3321.8333333333335,2801.330687830688,2701.3518518518517,283_BIDWILLII_4_1
2016-05-31,0,2512.112433862434,2585.8928571428573,4722.6838624338625,3231.675925925926,2772.9669312169312,2666.005291005291,283_BIDWILLII_4_1
2016-06-30,0,2505.322751322751,2577.6243386243386,4818.170634920635,3189.6031746031745,2748.1150793650795,2674.309523809524,283_BIDWILLII_4_1
2016-07-31,0,2515.9801587301586,2580.9391534391534,4791.73544973545,3227.972222222222,2770.2843915343915,2675.1031746031745,283_BIDWILLII_4_1
2016-08-31,0,2527.0873015873017,2612.3756613756614,4844.8994708994705,3308.5079365079364,2816.563492063492,2710.9497354497353,283_BIDWILLII_4_1
2016-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2016-10-31,0,2551.595238095238,2618.9206349206347,5002.026455026455,3416.568783068783,2872.1560846560847,2723.8333333333335,283_BIDWILLII_4_1
2016-11-30,0,2587.2949735449733,2712.55291005291,5042.488095238095,3675.580687830688,3030.6468253968255,2794.830687830688,283_BIDWILLII_4_1
2016-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2017-01-31,0,2538.232804232804,2597.526455026455,5621.380952380952,3452.4523809523807,2860.822751322751,2744.8253968253966,283_BIDWILLII_4_1
2017-02-28,0,2545.9378306878307,2623.335978835979,5741.013227513227,3451.685185185185,2859.2804232804233,2764.910052910053,283_BIDWILLII_4_1
2017-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2017-04-30,0,2512.0158730158732,2560.100529100529,5337.693121693122,3203.2751322751324,2736.1084656084654,2676.328042328042,283_BIDWILLII_4_1
2017-05-31,0,2505.5833333333335,2548.728835978836,5110.64417989418,3154.1415343915346,2719.154761904762,2657.9920634920636,283_BIDWILLII_4_1
2017-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2017-07-31,0,2512.2433862433863,2560.2698412698414,4922.275132275132,3131.8201058201057,2721.3518518518517,2661.9603174603176,283_BIDWILLII_4_1
2017-08-31,0,2522.1798941798943,2588.1481481481483,4771.132275132275,3252.2804232804233,2797.973544973545,2669.5158730158732,283_BIDWILLII_4_1
2017-09-30,0,2541.2063492063494,2632.5925925925926,4779.10582010582,3358.8571428571427,2867.1878306878307,2700.531746031746,283_BIDWILLII_4_1
2017-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2017-11-30,0,2628.2486772486773,2604.574074074074,5767.219576719577,3609.968253968254,2929.26455026455,2798.989417989418,283_BIDWILLII_4_1
2017-12-31,0,2760.190476190476,3012.931216931217,5989.015873015873,4032.685185185185,3432.1878306878307,3198.2619047619046,283_BIDWILLII_4_1
2018-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2018-02-28,0,2545.190476190476,2616.89417989418,5232.978835978836,3415.1481481481483,2838.1878306878307,2741.121693121693,283_BIDWILLII_4_1
2018-03-31,0,2526.6150793650795,2580.772486772487,5003.793650793651,3257.6613756613756,2780.4748677248676,2696.5767195767194,283_BIDWILLII_4_1
2018-04-30,0,2517.535714285714,2562.85582010582,5026.723544973545,3252.4880952380954,2763.304232804233,2667.3756613756614,283_BIDWILLII_4_1
2018-05-31,0,2509.505291005291,2555.328042328042,4932.756613756614,3171.5608465608466,2732.4074074074074,2653.404761904762,283_BIDWILLII_4_1
2018-06-30,0,2499.026455026455,2559.2579365079364,4836.521164021164,3156.3492063492063,2721.14417989418,2646.5383597883597,283_BIDWILLII_4_1
2018-07-31,0,2504.8174603174602,2568.259259259259,4776.91798941799,3169.175925925926,2741.0330687830688,2655.3015873015875,283_BIDWILLII_4_1
2018-08-31,0,2533.074074074074,2618.2433862433863,4668.989417989418,3272.5925925925926,2815.171957671958,2694.2698412698414,283_BIDWILLII_4_1
2018-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0,283_BIDWILLII_4_1
2018-10-31,0,2530.354497354497,2628.585978835979,4674.326719576719,3342.7486772486773,2843.1203703703704,2726.203703703704,283_BIDWILLII_4_1
