time,spatial_ref_mean,blue_mean,red_mean,nir08_mean,swir16_mean,swir22_mean,green_mean
2015-07-31,0,4140.0123456790125,4224.851851851852,7365.469135802469,5023.555555555556,4433.123456790124,4355.691358024691
2015-08-31,0,4176.598765432099,4250.666666666667,7468.913580246914,5154.740740740741,4511.962962962963,4392.753086419753
2015-09-30,0,4196.3456790123455,4307.759259259259,7681.0123456790125,5370.956790123457,4608.530864197531,4454.851851851852
2015-10-31,0,4211.197530864198,4321.098765432099,7801.938271604939,5426.395061728395,4654.83950617284,4476.111111111111
2015-11-30,0,4249.432098765432,4378.740740740741,8204.654320987655,5713.425925925926,4772.308641975309,4547.83950617284
2016-01-31,0,4203.876543209876,4323.518518518518,8597.04938271605,5599.858024691358,4685.197530864198,4528.179012345679
2016-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0,4303.537037037037,4790.617283950617,7763.123456790124,5708.222222222223,5048.141975308642,4865.444444444444
2016-04-30,0,4339.148148148148,4519.691358024691,8583.703703703704,5762.283950617284,5072.222222222223,4666.641975308642
2016-05-31,0,4161.685185185185,4247.672839506173,7654.006172839506,5119.691358024691,4484.9876543209875,4388.351851851852
2016-06-30,0,4147.364197530864,4244.598765432099,7745.598765432099,5074.697530864198,4461.962962962963,4392.358024691358
2016-07-31,0,4156.320987654321,4244.2037037037035,7797.320987654321,5129.956790123457,4488.586419753086,4394.0123456790125
2016-08-31,0,4177.901234567901,4292.62962962963,8005.555555555556,5270.592592592592,4563.728395061728,4460.518518518518
2016-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0,4227.0123456790125,4300.0123456790125,8201.814814814816,5443.432098765432,4652.851851851852,4476.259259259259
2016-11-30,0,4251.055555555556,4400.919753086419,8345.376543209877,5737.265432098766,4801.808641975309,4569.166666666667
2016-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,0,4209.086419753086,4295.135802469136,8922.061728395061,5510.506172839506,4656.197530864198,4515.827160493827
2017-02-28,0,4552.253086419753,5064.753086419753,9980.895061728395,6669.913580246914,5579.635802469136,5191.6543209876545
2017-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,0,4173.074074074074,4225.938271604939,8294.925925925925,5106.456790123457,4468.16049382716,4397.37037037037
2017-05-31,0,4153.722222222223,4210.3456790123455,7923.0,5027.327160493827,4438.932098765432,4364.1543209876545
2017-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0,4165.876543209876,4228.888888888889,7699.691358024691,5020.20987654321,4451.024691358025,4363.086419753086
2017-08-31,0,4177.111111111111,4243.888888888889,7661.83950617284,5158.333333333333,4527.456790123457,4374.37037037037
2017-09-30,0,4201.234567901234,4292.950617283951,7696.777777777777,5304.185185185185,4608.0123456790125,4420.024691358025
2017-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0,4339.493827160494,4280.592592592592,9164.888888888889,5721.814814814815,4750.814814814815,4566.938271604939
2017-12-31,0,4490.802469135802,4792.111111111111,9485.222222222223,6332.444444444444,5518.074074074074,5165.506172839506
2018-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0,4206.283950617284,4321.493827160494,8421.469135802468,5451.901234567901,4624.691358024691,4504.283950617284
