time,value
2016-06-30,0.18389234067302315
2016-07-31,0.1838159925867721
2016-08-31,0.18731247263073209
2016-09-30,0.0
2016-10-31,0.2025309357632592
2016-11-30,0.20110278599471115
2016-12-31,0.0
2017-01-31,0.23610154628013807
2017-02-28,0.1734632292458726
2017-03-31,0.0
2017-04-30,0.21805758415241444
2017-05-31,0.20691180260175449
2017-06-30,0.0
2017-07-31,0.19560010017340979
2017-08-31,0.19156716653206254
2017-09-30,0.18995923303384185
2017-10-31,0.0
2017-11-30,0.2496076712632884
2017-12-31,0.23474378917294572
2018-01-31,0.0
2018-02-28,0.2128646045766829
2018-03-31,0.215547045775578
2018-04-30,0.2076153881656048
2018-05-31,0.19871053890355822
2018-06-30,0.19146578616285553
2018-07-31,0.18849258558816132
2018-08-31,0.18147959770424668
2018-09-30,0.0
2018-10-31,0.18486843828476654
2018-11-30,0.11311082293905406
2018-12-31,0.0
2019-01-31,0.0
2019-02-28,0.1936921741870849
2019-03-31,0.17790049306739905
2019-04-30,0.0
2019-05-31,0.18035497939075013
2019-06-30,0.07414658855413572
2019-07-31,0.17524416849247595
2019-08-31,0.1714609235575054
2019-09-30,0.16326513477304902
2019-10-31,0.1631705594572088
2019-11-30,0.17585172086650083
2019-12-31,0.19023386380575608
2020-01-31,0.0
2020-02-29,0.20360552566138113
2020-03-31,0.2102980261812569
2020-04-30,0.19799884393306735
2020-05-31,0.18431672166275567
2020-06-30,0.18187791586671656
2020-07-31,0.0
2020-08-31,0.1776724821671086
2020-09-30,0.18804564804350235
2020-10-31,0.0
2020-11-30,0.19813804717466052
2020-12-31,0.19181707880614354
2021-01-31,0.0
2021-02-28,0.16114772557145926
2021-03-31,0.0
2021-04-30,0.18317259702518632
2021-05-31,0.19281831329367702
2021-06-30,0.1917435834057132
2021-07-31,0.1951166234198706
2021-08-31,0.1965665433348353
2021-09-30,0.1823594182143049
2021-10-31,0.19101328553654975
2021-11-30,0.22935357078120358
2021-12-31,0.10517966945274101
2022-01-31,0.0
2022-02-28,0.25259279154218583
2022-03-31,0.0
2022-04-30,0.2129892480051871
2022-05-31,0.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.2085176477235088
2022-10-31,-0.00391592237672281
2022-11-30,0.23023516351829695
2022-12-31,0.14682774326858655
2023-01-31,0.0
2023-02-28,0.21433224376280388
2023-03-31,0.21034575007223175
2023-04-30,0.19875915752682496
2023-05-31,0.19458615558947057
2023-06-30,0.1952292110352735
2023-07-31,0.038189752733291664
2023-08-31,0.18827043784200057
2023-09-30,0.14047506796369183
2023-10-31,0.19274423841900745
2023-11-30,0.1970065792221883
2023-12-31,0.0
2024-01-31,0.0
2024-02-29,0.22103947874417798
2024-03-31,0.0
2024-04-30,0.0
2024-05-31,0.1986597357975183
2024-06-30,0.2004907238905877
2024-07-31,0.1970204159887817
2024-08-31,0.20071263195844308
2024-09-30,0.1974395771155883
2024-10-31,0.20583663804771404
2024-11-30,0.0
2024-12-31,0.0
2025-01-31,0.17293054943165379
2025-02-28,0.0
2025-03-31,0.11476231794763346
2025-04-30,0.16466676484622927
2025-05-31,0.1951613440091511
